name,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
AH LA LA,Edgar de l'Est,spotify:track:0JBUms0CMKVARibROy8x7N,0.829,0.353,9,-10.409,1,0.246,0.605,2.44e-05,0.124,0.897,134.979,audio_features,0JBUms0CMKVARibROy8x7N,spotify:track:0JBUms0CMKVARibROy8x7N,https://api.spotify.com/v1/tracks/0JBUms0CMKVARibROy8x7N,https://api.spotify.com/v1/audio-analysis/0JBUms0CMKVARibROy8x7N,234227,4
Gimme Shelter,Merry Clayton,spotify:track:318Vrl9zzFT7zT8BYKNhgP,0.584,0.821,7,-9.016,0,0.0468,0.329,0.000282,0.565,0.646,117.619,audio_features,318Vrl9zzFT7zT8BYKNhgP,spotify:track:318Vrl9zzFT7zT8BYKNhgP,https://api.spotify.com/v1/tracks/318Vrl9zzFT7zT8BYKNhgP,https://api.spotify.com/v1/audio-analysis/318Vrl9zzFT7zT8BYKNhgP,211293,4
Sam,Tim Knol,spotify:track:1jajG9Yo6m71VEpXx3uRzT,0.563,0.146,3,-14.421,0,0.0408,0.894,1.6e-05,0.111,0.268,133.115,audio_features,1jajG9Yo6m71VEpXx3uRzT,spotify:track:1jajG9Yo6m71VEpXx3uRzT,https://api.spotify.com/v1/tracks/1jajG9Yo6m71VEpXx3uRzT,https://api.spotify.com/v1/audio-analysis/1jajG9Yo6m71VEpXx3uRzT,233333,4
Intro / Stronger Than Me,Amy Winehouse,spotify:track:2pkKNXOwwEc8qgeQRtg6IJ,0.875,0.481,9,-5.088,0,0.0451,0.0574,0.000453,0.0916,0.716,91.474,audio_features,2pkKNXOwwEc8qgeQRtg6IJ,spotify:track:2pkKNXOwwEc8qgeQRtg6IJ,https://api.spotify.com/v1/tracks/2pkKNXOwwEc8qgeQRtg6IJ,https://api.spotify.com/v1/audio-analysis/2pkKNXOwwEc8qgeQRtg6IJ,234107,4
I'm a Steady Rollin' Man,Robert Johnson,spotify:track:5yxmp7HffmzRsrklr8xyrV,0.681,0.193,2,-15.254,1,0.0581,0.982,0.00522,0.128,0.638,101.924,audio_features,5yxmp7HffmzRsrklr8xyrV,spotify:track:5yxmp7HffmzRsrklr8xyrV,https://api.spotify.com/v1/tracks/5yxmp7HffmzRsrklr8xyrV,https://api.spotify.com/v1/audio-analysis/5yxmp7HffmzRsrklr8xyrV,156240,4
I Think We're Alone Now,Darlyn,spotify:track:0zEjqBMZNkUFCDUmuYoGxO,0.513,0.083,0,-13.451,1,0.0454,0.893,0.0,0.115,0.28,119.585,audio_features,0zEjqBMZNkUFCDUmuYoGxO,spotify:track:0zEjqBMZNkUFCDUmuYoGxO,https://api.spotify.com/v1/tracks/0zEjqBMZNkUFCDUmuYoGxO,https://api.spotify.com/v1/audio-analysis/0zEjqBMZNkUFCDUmuYoGxO,169842,4
El Muro,Eskorzo Afrobeat Experience,spotify:track:2mu6r9KaIxj2CRrIcJTm0b,0.618,0.894,0,-8.703,1,0.0327,0.0536,0.577,0.0611,0.91,96.991,audio_features,2mu6r9KaIxj2CRrIcJTm0b,spotify:track:2mu6r9KaIxj2CRrIcJTm0b,https://api.spotify.com/v1/tracks/2mu6r9KaIxj2CRrIcJTm0b,https://api.spotify.com/v1/audio-analysis/2mu6r9KaIxj2CRrIcJTm0b,468143,4
Rudeboy Shufflin,Israel Vibration,spotify:track:6nKvpwVXvwqWHYkv8W8v5g,0.885,0.482,5,-11.874,0,0.204,0.0127,0.0,0.0916,0.946,137.425,audio_features,6nKvpwVXvwqWHYkv8W8v5g,spotify:track:6nKvpwVXvwqWHYkv8W8v5g,https://api.spotify.com/v1/tracks/6nKvpwVXvwqWHYkv8W8v5g,https://api.spotify.com/v1/audio-analysis/6nKvpwVXvwqWHYkv8W8v5g,285667,4
Big In Japan,Britta Persson,spotify:track:4TFjClZKae5hkuegAzfKPC,0.73,0.427,6,-6.702,0,0.0308,0.285,0.0,0.11,0.2,100.16,audio_features,4TFjClZKae5hkuegAzfKPC,spotify:track:4TFjClZKae5hkuegAzfKPC,https://api.spotify.com/v1/tracks/4TFjClZKae5hkuegAzfKPC,https://api.spotify.com/v1/audio-analysis/4TFjClZKae5hkuegAzfKPC,226554,4
This Sky,The Derek Trucks Band,spotify:track:7CF9D6br57ovVM7bo6B1jB,0.445,0.544,9,-10.925,1,0.0314,0.698,0.477,0.115,0.222,101.172,audio_features,7CF9D6br57ovVM7bo6B1jB,spotify:track:7CF9D6br57ovVM7bo6B1jB,https://api.spotify.com/v1/tracks/7CF9D6br57ovVM7bo6B1jB,https://api.spotify.com/v1/audio-analysis/7CF9D6br57ovVM7bo6B1jB,391987,4
